id,link,transcript_path
cv10_neuralnet,https://www.youtube.com/watch?v=KuXjwB4LzSA&t=1154s,alice/rec_alg/transcripts/cv/cv10_neuralnet.txt
cv11_cnn,https://www.youtube.com/watch?v=C_zFhWdM4ic&ab_channel=Computerphile,alice/rec_alg/transcripts/cv/cv11_cnn.txt
cv12_transfertraining,https://www.youtube.com/watch?v=zSbXfnQPx_k&ab_channel=KevinWood%7CRobotics%26AI,alice/rec_alg/transcripts/cv/cv12_transfertraining.txt
cv13_objetdetection,https://www.youtube.com/watch?v=6pX3II2eVs0&ab_channel=Udacity,alice/rec_alg/transcripts/cv/cv13_objetdetection.txt
cv14_segmentation,https://www.youtube.com/watch?v=flFbNka62v8&list=PLSK7NtBWwmpR8VfRwSLrflmmthToXzTe_&index=2&ab_channel=KevinWood%7CRobotics%26AI,alice/rec_alg/transcripts/cv/cv14_segmentation.txt
cv15_poseestimation,https://www.youtube.com/watch?v=PBTrwymDVCg&list=PLSK7NtBWwmpR8VfRwSLrflmmthToXzTe_&index=1&ab_channel=KevinWood%7CRobotics%26AI,alice/rec_alg/transcripts/cv/cv15_poseestimation.txt
cv16_opticalflow,https://www.youtube.com/watch?v=0sPlnrEMyYk&list=PLSK7NtBWwmpR8VfRwSLrflmmthToXzTe_&index=3&ab_channel=KevinWood%7CRobotics%26AI,alice/rec_alg/transcripts/cv/cv16_opticalflow.txt
cv17_reconstruction,https://www.youtube.com/watch?v=PS7zHKwXWRM&ab_channel=KevinWood%7CRobotics%26AI,alice/rec_alg/transcripts/cv/cv17_reconstruction.txt
cv18_tracking,https://www.youtube.com/watch?v=_YPScrckx28&ab_channel=VisuallyExplained,alice/rec_alg/transcripts/cv/cv18_tracking.txt
cv19_stereo,https://www.youtube.com/watch?v=aircAruvnKk&t=13s&ab_channel=3Blue1Brown,alice/rec_alg/transcripts/cv/cv19_stereo.txt
cv1_convolution,https://www.youtube.com/watch?v=QzY57FaENXg&ab_channel=IBMTechnology,alice/rec_alg/transcripts/cv/cv1_convolution.txt
cv2_filtering,https://www.youtube.com/watch?v=vmjP6LjGaag&ab_channel=Levity,alice/rec_alg/transcripts/cv/cv2_filtering.txt
cv3_histogram,https://www.youtube.com/watch?v=30qEZ8d2osg&ab_channel=exterminar,alice/rec_alg/transcripts/cv/cv3_histogram.txt
cv4_thresholding,https://www.youtube.com/watch?v=5QUmlXBb0MY&ab_channel=LearnOpenCV,alice/rec_alg/transcripts/cv/cv4_thresholding.txt
cv5_sift,https://www.youtube.com/watch?v=mlXs5kIQ5p4&ab_channel=KevinWood%7CRobotics%26AI,alice/rec_alg/transcripts/cv/cv5_sift.txt
cv6_surf,https://www.youtube.com/watch?v=lnXFcmLB7sM&ab_channel=FirstPrinciplesofComputerVision,alice/rec_alg/transcripts/cv/cv6_surf.txt
cv7_orb,https://www.youtube.com/watch?v=p6gp8CLMDOo&ab_channel=OpenCVUniversity,alice/rec_alg/transcripts/cv/cv7_orb.txt
cv8_canny,https://www.youtube.com/watch?v=tqBD6rxiul4&t=71s&ab_channel=PhenoRob,alice/rec_alg/transcripts/cv/cv8_canny.txt
cv9_svm,https://www.youtube.com/watch?v=hUVyDabn1Mg&ab_channel=FirstPrinciplesofComputerVision,alice/rec_alg/transcripts/cv/cv9_svm.txt
