id,link,transcript_path
nlp10_sentimentanalysis,https://www.youtube.com/watch?v=fNxaJsNG3-s&ab_channel=TensorFlow,alice/rec_alg/transcripts/nlp/nlp10_sentimentanalysis.txt
nlp11_naive-bayes,https://www.youtube.com/watch?v=vUPAOU2NPls&ab_channel=codebasics,alice/rec_alg/transcripts/nlp/nlp11_naive-bayes.txt
nlp12_rand-forest,https://www.youtube.com/watch?v=JpxCt3kvbLk&ab_channel=KrishNaik,alice/rec_alg/transcripts/nlp/nlp12_rand-forest.txt
nlp13_topic-modeling,https://www.youtube.com/watch?v=irzVuSO8o4g&ab_channel=ritvikmath,alice/rec_alg/transcripts/nlp/nlp13_topic-modeling.txt
nlp14_ltsm,https://www.youtube.com/watch?v=OymqCnh-APA&ab_channel=ritvikmath,alice/rec_alg/transcripts/nlp/nlp14_ltsm.txt
nlp15_rnn,https://www.youtube.com/watch?v=9S0-OC4LFNo&ab_channel=CodeEmporium,alice/rec_alg/transcripts/nlp/nlp15_rnn.txt
nlp16_text-classification,https://www.youtube.com/watch?v=MvG4dPplrRo&ab_channel=IUPTI,alice/rec_alg/transcripts/nlp/nlp16_text-classification.txt
nlp17_sequence-model,https://www.youtube.com/watch?v=fv6Z3ZrAWuU&ab_channel=ritvikmath,alice/rec_alg/transcripts/nlp/nlp17_sequence-model.txt
nlp18_attention-mechanism,https://www.youtube.com/watch?v=2XUhKpH0p4M&ab_channel=codebasics,alice/rec_alg/transcripts/nlp/nlp18_attention-mechanism.txt
nlp19_transformer,https://www.youtube.com/watch?v=5HQCNAsSO-s&ab_channel=IBMTechnology,alice/rec_alg/transcripts/nlp/nlp19_transformer.txt
nlp1_tokenization,https://www.youtube.com/watch?v=O2L2Uv9pdDA&ab_channel=StatQuestwithJoshStarmer,alice/rec_alg/transcripts/nlp/nlp1_tokenization.txt
nlp20_fine-tuning,https://www.youtube.com/watch?v=gkXX4h3qYm4&ab_channel=IBMTechnology,alice/rec_alg/transcripts/nlp/nlp20_fine-tuning.txt
nlp21_summarization,https://www.youtube.com/watch?v=1_jq_gWFUuQ&ab_channel=TwinEdProductions,alice/rec_alg/transcripts/nlp/nlp21_summarization.txt
nlp22_question-answer,https://www.youtube.com/watch?v=b61DPVFX03I&ab_channel=IBMTechnology,alice/rec_alg/transcripts/nlp/nlp22_question-answer.txt
nlp23_chat-bots,https://www.youtube.com/watch?v=Gafjk7_w1i8&ab_channel=IBMTechnology,alice/rec_alg/transcripts/nlp/nlp23_chat-bots.txt
nlp24_translation,https://www.youtube.com/watch?v=8YsZXTpFRO0&ab_channel=Weights%26Biases,alice/rec_alg/transcripts/nlp/nlp24_translation.txt
nlp2_stopwords,https://www.youtube.com/watch?v=CznICCPa63Q&ab_channel=AlexanderAmini,alice/rec_alg/transcripts/nlp/nlp2_stopwords.txt
nlp3_stemminglemmatization,https://www.youtube.com/watch?v=lOrTlKrdmkQ&ab_channel=vcubingx,alice/rec_alg/transcripts/nlp/nlp3_stemminglemmatization.txt
nlp4_bagofwords,https://www.youtube.com/watch?v=4Bdc55j80l8&ab_channel=TheAIHacker,alice/rec_alg/transcripts/nlp/nlp4_bagofwords.txt
nlp5_TFIDF,https://www.youtube.com/watch?v=pu3-PeBG0YU&ab_channel=IBMTechnology,alice/rec_alg/transcripts/nlp/nlp5_TFIDF.txt
nlp6_embeddings,https://www.youtube.com/watch?v=XO97Uon83Os&ab_channel=NormalizedNerd,alice/rec_alg/transcripts/nlp/nlp6_embeddings.txt
nlp7_similarity,https://www.youtube.com/watch?v=6ppxd9lp-X0&ab_channel=SpencerPao,alice/rec_alg/transcripts/nlp/nlp7_similarity.txt
nlp8_pos-tag,https://www.youtube.com/watch?v=lZjUS_8btEo&ab_channel=IBMTechnology,alice/rec_alg/transcripts/nlp/nlp8_pos-tag.txt
nlp9_ner,https://www.youtube.com/watch?v=1Ufz75u4s24&ab_channel=JordanBoyd-Graber,alice/rec_alg/transcripts/nlp/nlp9_ner.txt
